hotel_id,hotel_name,hotel_formerly_name,hotel_translated_name,addressline1,addressline2,zipcode,city,state,country,countryisocode,longitude,latitude
15,"Sheraton Grand Hotel & Spa, Edinburgh",Sheraton Grand Hotel and Spa Edinburgh,??????????????????????,1 Festival Square,,EH39SR,??????,Scotland,????,GB,-3.207612,55.947064
97,Amba Hotel Charing Cross,,????????????????,The Strand,,WC2N 5HX,????,,????,GB,-0.124777,51.508358
122,The Tower Hotel,Tower Thistle Hotel,??????????,St Katharine's Way,,E1W 1LD,????,,????,GB,-0.07107,51.506119
150,Holiday Inn Express London Greenwich,,????????????????????????,Bugsbys Way,,SE10 0GD,????,,????,GB,0.009795,51.49252
160,Mercure Burton Upon Trent Newton Park,Newton Park Hotel,??????????????????????,Newton Solney,,DE15 0SS,????????????,,????,GB,-1.58673,52.823804
304,The Dorchester,,????????????,53 Park Lane,,W1K 1QA,????,"London,?England",????,GB,-0.152243,51.506986
378,Hilton London Metropole Hotel,,????????????????????,225 Edgware Road,,W2 1JU,????,,????,GB,-0.1694,51.5193
383,Mercure Maidstone Great Danes Hotel,Mercure Maidstone Hotel,??????????????????????,Hollingbourne,,ME17 1RE,????????,,????,GB,0.617777,51.258608
444,Radisson Blu Edwardian Hampshire Hotel,Radisson Edwardian Hampshire Hotel,????????????????????????????????,31-36 Leicester Square,,WC2H 7LH,????,,????,GB,-0.129719,51.509894
515,Hilton London Hyde Park,,??????????????????????,129 Bayswater Road,,W2 4RJ,????,,????,GB,-0.187369,51.510366
541,Crowne Plaza - Belfast,,??????????????????,117 Milltown Road,,BT8 7XP,??????????,,????,GB,-5.947573,54.55072
597,The Wild Boar Hotel,,????????,Crook Road,,LA23 3NF,????????,Cumbria,????,GB,-2.870218,54.350593
610,Holiday Inn Leamington Spa / Warwick,Courtyard Marriott Hotel,??????????????????/??????,"Olympus Avenue, Tachbrook Park",,CV34 6RJ,??????,,????,GB,-1.549984,52.27613
654,Ibis York Centre Hotel,Ramada Jarvis Abbey Park Hotel,??????????????????,77 The Mount,,YO24 1BN,????,York,????,GB,-1.094309,53.95351
658,Holiday Inn Basildon,,????????????????,"Waterfront Walk, Festival Leisure Park",,SS14  3DG,????????,,????,GB,0.461104,51.583447
684,The Bonham Hotel,,??????????,35 Drumsheugh Gardens,,EH3 7RN,??????,,????,GB,-3.214716,55.95137
702,Wyck Hill House Hotel & Spa,,????????????????????????,The Cotswolds,,GL54 1HY,??????????????,,????,GB,-1.711572,51.898056
711,Queens Park Hotel,,????????????,"48 Queensborough Terrace, Bayswater",,W2 3SS,????,,????,GB,-0.18503,51.511453
718,Holiday Inn Coventry,,??????????????,"Hinckley Road, Walsgrave",,CV2 2HP,??????,,????,GB,-1.434292,52.431206
723,Mercure Chester Abbots Well Hotel,Mercure Chester East Hotel,??????????????????????,"Whitechurch Road, Christleton",,CH3 5QL,??????,,????,GB,-2.84857,53.18498
785,Pullman London St Pancras Hotel,,????????????????????????,100 - 110 Euston Road,,NW1 2AJ,????,,????,GB,-0.127614,51.52864
903,Thistle Euston Hotel,,??????????????????,"Cardington Street, Euston",,NW1 2LP,????,,????,GB,-0.137318,51.529025
920,Parliament House Hotel,,????????????,15 Calton Hill,,EH1 3BJ,??????,Scotland,????,GB,-3.185864,55.95422
1018,Hilton Heathrow Airport,Hilton London Heathrow Airport Hotel,????????????????????,"Terminal 4 Heathrow Airport, Middlesex",,TW6 3AF,????,,????,GB,-0.441546,51.458647
1046,Amba Hotel Marble Arch,Thistle Marble Arch Hotel,????????-??????????,Bryanston Street,,W1H 7EH,????,,????,GB,-0.15759,51.51416
1065,Dunkeld House Hotel,,????????????????,Dunkeld House Hotel,,PH8 0HX,????????,,????,GB,-3.61121,56.56508
1070,Novotel London West Hotel,,??????????????????,1 Shortlands Hammersmith International Centre,,W6 8DR,????,,????,GB,-0.21995,51.492008
1072,Holiday Inn Washington,,??????????????,Emerson,,NE37 1LB,??????,,????,GB,-1.556915,54.88681
1130,DoubleTree by Hilton London Hyde Park Hotel,,??????????????????????????,150 Bayswater Road,,W2 4RT,????,,????,GB,-0.190455,51.510102
1145,Mercure Hull Grange Park Hotel,Mercure Hull West Hotel,????????????????????,"Grange Park Lane, Willerby",,HU10 6EB,????,,????,GB,-0.452392,53.76505
1178,Dunollie Hotel A Bespoke Hotel,,??????????????,Broadford,,IV49 9AE,??????,Scotland,????,GB,-5.905765,57.241309
1181,Gainsborough Hotel,,????????????,"7-11 Queensberry Place, South Kensington,",,SW7 2DL,????,,????,GB,-0.17734,51.49486
1197,Radisson Blu Edwardian Berkshire Hotel,Radisson Edwardian Berkshire Hotel,??????????????????????????????????,350 Oxford Street,,W1C 1BY,????,,????,GB,-0.148455,51.514879
1233,Ramada Hatfield Hotel,,????????????????????,St. Albans Road West,,AL10 9RH,????????????,,????,GB,-0.244295,51.7601
1358,The Balmoral Hotel,,??????????????,1 Princes Street,,EH2 2EQ,??????,Scotland,????,GB,-3.189635,55.953118
1438,The Principal Edinburgh George Street,The George,????????????????????,19-21 George Street,,EH2 2PB,??????,,????,GB,-3.196313,55.953837
1456,Hyatt Regency Birmingham Hotel,,??????????????,2 Bridge Street,,B1 2JZ,??????,"West Midlands,?England",????,GB,-1.908805,52.478164
1458,Ambassadors Bloomsbury Hotel,,????????????????????,12 Upper Woburn Place,,WC1H 0HX,????,,????,GB,-0.1296,51.526699
1476,Everglades Hotel,,????????????????,Prehen Road,,BT47 2NH,????/????????,Londonderry,????,GB,-7.337151,54.981739
1477,Low Wood Bay Hotel,,????????????,"Ambleside Road, Low Wood Bay",,LA23 1LP,????????,Cumbria,????,GB,-2.948108,54.410275
1549,Mercure Leicester The Grand Hotel,Ramada Jarvis,????????????????,Granby Street,,LE1 6ES,??????,,????,GB,-1.1292,52.633
1605,Bloomsbury Park - A Thistle Associate Hotel,The Bloomsbury Park Hotel,????????????????????,126 Southampton Row,,WC1B 5AD,????,,????,GB,-0.123096,51.520773
1782,Britannia International Hotel Canary Wharf,,??????????????????????????,163 Marsh Wall,,E14 9SJ,????,,????,GB,-0.022996,51.501842
1789,Holiday Villa Hotel,,????????????,"37 Leinster Gardens, Bayswater, Westminster",,W2 3AN,????,,????,GB,-0.183903,51.51323
1813,Mercure Ayr Hotel,Ramada Jarvis Hotel,????????????,Dalblair Road,,KA7 1UG,????,,????,GB,-4.6316,55.4607
1834,Brooks Hotel Edinburgh,Herald House,??????????????????,70 Grove Street,,EH3 8AP,??????,Midlothian,????,GB,-3.211275,55.943162
1843,Holiday Inn York,,????????????,"York Racecourse, Tadcaster Road",,YO24 1QF,????,,????,GB,-1.106529,53.939026
1909,Grasmere House Hotel,,??????????????????,70 Harnham Road,,SP2 8JN,??????????,Wiltshire,????,GB,-1.8025,51.06
1928,Best Western Hotel Bristol,Hotel Bristol,????????????????????,Narrowcliff,,TR7 2PQ,????,"South West,?England",????,GB,-5.071287,50.4175
2001,The Palace Hotel,Palace Hotel - The Hotel Collection,????????,Palace Road,,SK17 6AG,????????,,????,GB,-1.920319,53.260074
2035,The Athenaeum Hotel & Residences,,??????????????????,116 Piccadilly,,W1J 7BJ,????,,????,GB,-0.147438,51.504656
2301,Hilton Leeds City Hotel,,??????????????,Neville street,,LS1 4BX,????,,????,GB,-1.546939,53.793515
2377,La Reserve Hotel,,????????????  ,422-428 Fulham Road,,SW6 1DU,????,,????,GB,-0.191236,51.480235
2385,DoubleTree by Hilton Hotel Swindon,Hilton Swindon Hotel,????????????????????,"Lydiard Fields, Great Western Way",,SN5 8UZ,??????,,????,GB,-1.85305,51.546944
